,戳る(秅),糹基,禦芥舦,秨絃基,程蔼基,程基,程Θユ基,挡衡基,害禴基,害禴%,*絃ユ琿Θユ秖,*ユ琿Θユ秖,*璸Θユ秖,*ゼ≧綪秖,程程ㄎ禦基,程程ㄎ芥基,菌程蔼基,菌程基
TXO,202002,12700,Put,1120,1280,1120,1280,1330,《+690,《+116.95%,0,4,4,12,1190,1420,1280,550
TXO,202002,12800,Call,2,2.1,1,2,2,】-1,】-33.33%,120,1001,1121,4395,1.3,9,32.5,1
TXO,202002,12800,Put,1150,1150,1150,1150,1430,《+460,《+66.67%,0,2,2,2,1290,1520,1150,765
TXO,202002,12900,Call,1.9,1.9,1.3,1.3,1.3,】-0.3,】-18.75%,25,383,408,2906,-,1.6,21.5,1.3
TXO,202002,12900,Put,1250,1250,1250,1250,1530,《+460,《+58.23%,0,2,2,3,1390,1620,1250,925
TXO,202002,13000,Call,1.1,1.3,0.1,1,1,0,0%,5,424,429,1411,0.2,1.2,16,0.1
TXO,202002,13000,Put,-,-,-,-,1630,-,-,0,0,0,2,1490,1720,1060,940
TXO,202002,13100,Call,0.9,1.1,0.8,0.8,0.8,】-0.1,】-11.11%,9,80,89,578,-,15,8.9,0.8
TXO,202002,13100,Put,-,-,-,-,1730,-,-,0,0,0,1,1590,1820,1040,1040
TXO,202002,13200,Call,0.9,0.9,0.8,0.8,0.8,《+0.2,《+33.33%,14,31,45,377,0.1,1,7.1,0.6
TXO,202002,13200,Put,-,-,-,-,1830,-,-,0,0,0,0,1690,1920,-,-
TXO,202002,13300,Call,-,-,-,-,0.7,-,-,0,0,0,63,-,6,4.2,0.4
TXO,202002,13300,Put,-,-,-,-,1930,-,-,0,0,0,0,1790,2020,-,-
TXO,202002,13400,Call,-,-,-,-,0.7,-,-,0,0,0,9,-,114,3.6,0.7
TXO,202002,13400,Put,-,-,-,-,2030,-,-,0,0,0,0,1890,2120,-,-
TXO,202002,13500,Call,-,-,-,-,0.6,-,-,0,0,0,23,-,4,1,0.2
TXO,202002,13500,Put,-,-,-,-,2130,-,-,0,0,0,0,1990,2220,-,-
TXO,202002,13600,Call,-,-,-,-,0.6,-,-,0,0,0,4,-,4,3,0.5
TXO,202002,13600,Put,-,-,-,-,2230,-,-,0,0,0,0,2090,2320,-,-
TXO,202002,13700,Call,0.5,0.5,0.5,0.5,0.5,《+0.4,-,0,10,10,24,-,4,0.7,0.5
TXO,202002,13700,Put,-,-,-,-,2330,-,-,0,0,0,0,2190,2420,-,-
TXO,202002,13800,Call,0.3,0.3,0.3,0.3,0.3,《+0.2,-,0,10,10,38,-,4,0.6,0.3
TXO,202002,13800,Put,-,-,-,-,2430,-,-,0,0,0,0,2290,2520,-,-
TXO,202002,13900,Call,-,-,-,-,0.3,-,-,0,0,0,36,-,4,3.9,0.1
TXO,202002,13900,Put,-,-,-,-,2530,-,-,0,0,0,0,2390,2620,-,-
TXO,202002,14000,Call,0.3,0.3,0.3,0.3,0.3,《+0.2,-,0,20,20,52,0.3,4,2,0.1
TXO,202002,14000,Put,-,-,-,-,2630,-,-,0,0,0,0,2490,2720,-,-
TXO,202002,14100,Call,0.3,0.3,0.3,0.3,0.1,《+0.2,-,0,10,10,36,0.1,4,0.3,0.1
TXO,202002,14100,Put,-,-,-,-,2730,-,-,0,0,0,0,2590,2820,-,-
